t_host_s,baro.temp_C,pm.batteryLevel_pct,pm.chargeCurrent_mA,pm.state,pm.vbat_V
94.150,37.045,30.000,0.749,1,3.832
94.351,37.053,20.000,0.739,1,3.832
94.549,37.067,30.000,0.750,1,3.832
94.750,37.077,30.000,0.783,1,3.827
94.948,37.089,30.000,0.757,1,3.832
95.149,37.104,30.000,0.763,1,3.832
95.348,37.113,30.000,0.784,1,3.832
95.548,37.117,20.000,0.776,1,3.832
95.749,37.120,30.000,0.719,1,3.832
95.949,37.127,30.000,0.781,1,3.832
96.148,37.136,30.000,0.715,1,3.827
96.348,37.140,30.000,0.773,1,3.832
96.547,37.140,30.000,0.776,1,3.832
96.748,37.135,30.000,0.763,1,3.832
96.948,37.149,30.000,0.759,1,3.832
97.147,37.152,30.000,0.746,1,3.832
97.347,37.151,30.000,0.749,1,3.832
97.547,37.144,30.000,0.769,1,3.832
97.748,37.133,30.000,0.745,1,3.832
97.947,37.130,30.000,0.781,1,3.832
98.147,37.124,30.000,0.770,1,3.832
98.347,37.148,30.000,0.749,1,3.832
98.546,37.169,30.000,0.778,1,3.832
98.746,37.192,30.000,0.766,1,3.832
98.946,37.206,30.000,0.760,1,3.832
99.146,37.210,30.000,0.773,1,3.832
99.346,37.217,30.000,0.753,1,3.832
99.547,37.235,30.000,0.739,1,3.832
99.745,37.255,30.000,0.770,1,3.832
99.946,37.264,30.000,0.773,1,3.832
100.145,37.277,30.000,0.787,1,3.832
100.346,37.281,30.000,0.739,1,3.832
100.545,37.269,30.000,0.771,1,3.832
100.745,37.272,30.000,0.784,1,3.832
100.945,37.291,30.000,0.745,1,3.832
101.145,37.287,30.000,0.794,1,3.832
101.346,37.292,30.000,0.667,1,3.832
101.546,37.308,30.000,0.767,1,3.832
101.744,37.321,30.000,0.787,1,3.832
101.944,37.321,30.000,0.773,1,3.832
102.144,37.311,30.000,0.778,1,3.832
102.345,37.310,30.000,0.798,1,3.832
102.544,37.316,30.000,0.783,1,3.832
102.744,37.324,30.000,0.788,1,3.832
102.944,37.338,30.000,0.763,1,3.838
103.144,37.354,30.000,0.763,1,3.832
103.343,37.355,30.000,0.757,1,3.832
103.544,37.364,30.000,0.747,1,3.832
103.743,37.377,30.000,0.774,1,3.832
103.943,37.379,30.000,0.738,1,3.832
104.145,37.377,30.000,0.767,1,3.838
104.343,37.392,30.000,0.787,1,3.832
104.542,37.400,30.000,0.757,1,3.832
104.742,37.422,30.000,0.774,1,3.838
104.943,37.428,30.000,0.795,1,3.832
105.143,37.425,30.000,0.709,1,3.832
105.342,37.401,30.000,0.707,1,3.838
105.542,37.388,30.000,0.716,1,3.832
105.743,37.374,30.000,0.754,1,3.838
105.943,37.376,30.000,0.766,1,3.838
106.142,37.392,30.000,0.790,1,3.838
106.342,37.398,30.000,0.739,1,3.832
106.542,37.424,30.000,0.773,1,3.832
106.741,37.438,30.000,0.800,1,3.832
106.942,37.455,30.000,0.790,1,3.832
107.141,37.468,30.000,0.777,1,3.838
107.341,37.471,30.000,0.814,1,3.832
107.541,37.469,30.000,0.812,1,3.832
107.741,37.476,30.000,0.729,1,3.832
107.941,37.488,30.000,0.794,1,3.832
108.142,37.500,30.000,0.776,1,3.838
108.341,37.516,30.000,0.759,1,3.838
108.541,37.514,30.000,0.807,1,3.832
108.741,37.510,30.000,0.790,1,3.838
108.940,37.517,30.000,0.762,1,3.838
109.140,37.534,30.000,0.797,1,3.838
109.341,37.544,30.000,0.773,1,3.838
109.540,37.538,30.000,0.762,1,3.832
109.739,37.551,30.000,0.753,1,3.832
109.940,37.562,30.000,0.770,1,3.838
110.139,37.572,30.000,0.771,1,3.832
110.340,37.573,30.000,0.773,1,3.832
110.539,37.573,30.000,0.747,1,3.832
110.740,37.570,30.000,0.774,1,3.832
110.938,37.560,30.000,0.762,1,3.838
111.139,37.550,30.000,0.742,1,3.838
111.338,37.578,30.000,0.739,1,3.838
111.538,37.584,30.000,0.756,1,3.832
111.739,37.585,30.000,0.738,1,3.832
111.940,37.590,30.000,0.750,1,3.838
112.137,37.592,30.000,0.769,1,3.838
112.338,37.603,30.000,0.781,1,3.832
112.538,37.604,30.000,0.756,1,3.832
112.738,37.618,30.000,0.750,1,3.832
112.937,37.629,30.000,0.767,1,3.838
113.139,37.646,30.000,0.747,1,3.838
113.337,37.649,30.000,0.792,1,3.832
113.538,37.654,30.000,0.780,1,3.832
113.736,37.647,30.000,0.753,1,3.838
113.937,37.651,30.000,0.783,1,3.838
114.137,37.658,30.000,0.719,1,3.832
114.337,37.663,30.000,0.762,1,3.838
114.536,37.675,30.000,0.749,1,3.832
114.737,37.684,30.000,0.763,1,3.832
114.936,37.702,30.000,0.780,1,3.838
115.138,37.718,30.000,0.790,1,3.838
115.336,37.714,30.000,0.753,1,3.832
115.536,37.701,30.000,0.756,1,3.838
115.735,37.686,30.000,0.767,1,3.838
115.936,37.693,30.000,0.777,1,3.838
116.135,37.701,30.000,0.764,1,3.838
116.335,37.719,30.000,0.759,1,3.838
116.535,37.729,30.000,0.791,1,3.832
116.735,37.741,30.000,0.773,1,3.838
116.935,37.751,30.000,0.745,1,3.838
117.135,37.754,30.000,0.809,1,3.838
117.335,37.756,30.000,0.757,1,3.838
117.536,37.750,30.000,0.747,1,3.832
117.734,37.750,30.000,0.797,1,3.838
117.934,37.739,30.000,0.788,1,3.832
118.134,37.741,30.000,0.700,1,3.838
118.335,37.754,30.000,0.787,1,3.838
118.535,37.766,30.000,0.777,1,3.838
118.733,37.767,30.000,0.777,1,3.838
118.933,37.767,30.000,0.794,1,3.838
119.134,37.777,30.000,0.788,1,3.838
119.333,37.781,30.000,0.774,1,3.838
119.534,37.789,30.000,0.804,1,3.838
119.733,37.801,30.000,0.794,1,3.838
119.933,37.780,30.000,0.800,1,3.838
120.133,37.746,30.000,0.764,1,3.838
120.333,37.746,30.000,0.702,1,3.838
120.533,37.758,30.000,0.760,1,3.832
120.732,37.777,30.000,0.767,1,3.838
120.932,37.789,30.000,0.778,1,3.838
121.133,37.796,30.000,0.794,1,3.838
121.332,37.807,30.000,0.807,1,3.838
121.533,37.788,30.000,0.776,1,3.838
121.733,37.794,30.000,0.760,1,3.838
121.932,37.810,30.000,0.792,1,3.838
122.131,37.830,30.000,0.740,1,3.838
122.332,37.821,30.000,0.787,1,3.838
122.531,37.823,30.000,0.781,1,3.838
122.731,37.823,30.000,0.746,1,3.838
122.931,37.817,30.000,0.823,1,3.838
123.132,37.828,30.000,0.769,1,3.838
123.331,37.843,30.000,0.745,1,3.838
123.531,37.853,30.000,0.794,1,3.838
123.732,37.828,30.000,0.781,1,3.838
123.931,37.823,30.000,0.736,1,3.838
124.130,37.837,30.000,0.791,1,3.838
124.330,37.851,30.000,0.811,1,3.832
124.530,37.873,30.000,0.776,1,3.838
